DCAT class,DCAT property,Value Name,CKAN fields used in frontend code,Required/Optional,Notes,Stored as,,,CKAN dataset field
dcat:Dataset,dct:title,Title,title,Required,,text,,,title
dcat:Dataset,dct:description,Description,notes,Required,,text,,,notes
dcat:Dataset,dcat:keyword,Keywords,tags,Required,,list,,,tags
dcat:Dataset,dcat:theme,Themes,extras:theme,Optional,We need to build out a theme ontology,list,See Lists,,custom:theme
dcat:Dataset,dct:identifier,DOI,extras:doi,Optional,,text,,,extras:identifier
,,Creation Method,extras:creationMethod,Required,,text,,,extras:creation_method
dcat:Dataset,dct:issued,Published Date,extras:issueDate,Required,user specified,text,,,extras:issued
dcat:Dataset,dct:modified,Updated Date,extras:lastUpdateDate,Required,user specified,text,,,extras:modified
,,Type of Entity,extras:uploadType,Required,"Data,Model,Service,DockerImage",text,,,extras:type_of_entity
dcat:Dataset,owl:versionInfo,Dataset Version,extras:datasetVersion,Optional,,text,,,version
dcat:Dataset,adms:versionNotes,Version Notes,extras:versionNotes,Optional,,text,,,extras:version_notes
dcat:Dataset,dct:language,Language,extras:lang,Optional,default english,text,See Lists,,extras:language
dcat:Dataset,dcat:landingPage,Landing Page about Dataset,extras: datasetPageUrl,Optional,,text,,,url
dcat:Dataset,dct:accrualPeriodicity,Update Frequency - Cadence of updates,extras:updateFreq,Optional,,text,,,extras:frequency
dcat:Dataset,dct:accessRights,Access Rights,extras:accessRights,Optional,,text,,,extras:access_rights
,,Organization,owner_org,Optional,,text,,,
,,License,extras:license / extras:otherLicense,Required,,text,,,
dcat:Dataset,foaf:page,Documentation about datasets,extras:docsURL,Optional,,text,See Lists,,extras:documentation
dcat:Dataset,dct:provenance,Provenance,extras:dataProvenance,Optional,,text,,,extras:provenance
dcat:Dataset,dcat-us:purpose,Purpose,extras:purpose,Required,,text,DCAT-US v3 and higher only,,extras:purpose
dcat:Dataset,skos:scopeNote,Usage Information,extras:usageInfo,Optional,,text,DCAT-US v3 and higher only,,extras:usage
dcat:Dataset,dct:type,Type of data,extras:dataType,Required,,text,,,type
dcat:Dataset,dct:spatial,Spatial Coverage,extras:spatialCov,Optional,,"list of objects, geojson or wkt",See Spatial coverage,,extras:spatial_uri
,,Spatial Coverage Input Type,extras:spatialCovFormat,,,,,,
dcat:Dataset,dct:temporal,Start DateTime,extras:startDateTime,Optional,,"date, time","None, one or both extras can be present",,extras:temporal_start
dcat:Dataset,dct:temporal,End DateTime,extras:endDateTime,Optional,,"date, time","None, one or both extras can be present",,extras:temporal_end
dcat:Dataset,dcat-us:geographicBoundingBox,Bbox of data,extras:dataBbox,Optional,"If they leave this blank, we could fill it in","list of objects, json or wkt",DCAT-US v3 and higher only,,extras:bbox
,,Bbox Input Type,extras:dataBboxFormat,,,,,,
dcat:Dataset,dcat-us:describedBy,Column Data Dictionary,extras:columnDataDict,Optional,Highly Recommended,list of objects,DCAT-US v3 and higher only,,extras:data_dictionary
dcat:Dataset,dcat:temporalResolution,Resolution of Temporal Data,extras:temporalRes,Optional,,"number, text",,,extras:temporal_resolution
dcat:Dataset,dcat:spatialResolutionInMeters,Resolution of Spatial Data (m),extras:spatialRes,Optional,,number,,,extras:spatial_resolution_in_meters
,,Time Zone,extras:timezone,Optional,,text,,,
"The publisher field will be the Agent Object below of Name, Email, Website",,,,,,,,,
dcat:Dataset,dct:publisher,,,Required,,list of objects,See URIs and Publisher,,
foaf:Agent,foaf:name,Publisher Name,extras:publisherName,Required,,text,,,extras:publisher_name
foaf:Agent,foaf:mbox,Publisher Email,extras:publisherEmail,Required,,text,,,extras:publisher_email
foaf:Agent,foaf:homepage,Publisher Website,extras:publisherWebsite,Optional,,text,,,extras:publisher_url
"The creator field will be the Agent Object below of Name, Email, Website",,,,,,,,,
dcat:Dataset,dct:creator,,,,,list of objects,See URIs,,
foaf:Agent,foaf:name,Creator Name,extras:creatorName,Required,,text,,,extras:creator_name
foaf:Agent,foaf:mbox,Creator Email,extras:creatorEmail,Required,,text,,,extras:creator_email
foaf:Agent,foaf:homepage,Creator Website,extras:creatorWebsite,Optional,,text,,,extras:creator_url
"The Point of Contact field will be the Agent Object below of Name, Email, Website",,,,,,,,,
dcat:Dataset,dcat:contactPoint,,,Required,,list of objects,See URIs and Contact points,,
